Orden,Provincia,Codigo,Departamento/Partido,Cantidad de filiales,Hay filiales,Mas de cinco filiales,Mas de cincuenta filiales,Pisos con revestimiento,Agua por cañeria dentro     de la vivienda,Agua para beber y cocinar por red publica,Baño o letrina dentro de la vivienda,Dos o mas baños,Baño con inodoro con arrastre de agua,Desagüe del inodoro del baño a red publica,Gas de red o electricidad para cocinar,Vivienda propia,Internet,Celular con internet,Computadora. tablet. etc.,Inspeccion en plazo,Equipo de inspeccion
1,BUENOS AIRES,BA,25 DE MAYO,6,SI,NO,NO,90.9,95.4,87,98,23.1,95.1,57.7,53.1,64.9,72.8,85.5,53.8,SI,SI
2,BUENOS AIRES,BA,9 DE JULIO,3,SI,SI,NO,93.6,96.7,79.8,98.9,26.1,96.5,69.9,66.6,64.8,81.4,89,58.2,SI,SI
3,BUENOS AIRES,BA,ADOLFO ALSINA,7,SI,NO,NO,95.6,97.2,90.4,98.8,18.1,97.5,49.7,75.7,69.2,80.9,88.3,56.4,SI,NO
4,BUENOS AIRES,BA,ADOLFO GONZALES CHAVES,3,SI,SI,NO,96.4,97.4,91.1,99,22.7,97.8,53.1,69.4,68.7,78.4,88.2,60,SI,SI
5,BUENOS AIRES,BA,ALBERTI,3,SI,SI,NO,93,96.3,71.3,98.2,27,96.2,77.1,61.3,69.2,79.2,87.6,58.3,NO,NO
6,BUENOS AIRES,BA,ALMIRANTE BROWN,24,SI,NO,NO,83.7,90.5,54.8,96.3,20.3,85.4,41.4,65.1,73.3,83,91.6,55.9,NO,NO
7,BUENOS AIRES,BA,ARRECIFES,6,SI,NO,NO,89.9,96.9,95.4,97.8,21.9,95,73.9,59.4,69.7,79.7,88.3,51.5,SI,SI
8,BUENOS AIRES,BA,AVELLANEDA,18,SI,NO,NO,92.9,96.4,96.6,96.4,23.7,94.3,81.1,78.2,64,85.6,92.4,65.3,SI,NO
9,BUENOS AIRES,BA,AYACUCHO,2,SI,SI,NO,92.6,97,89.4,99,24.5,98.1,82.9,68.9,64.8,74.3,85.7,51.7,NO,SI
10,BUENOS AIRES,BA,AZUL,8,SI,NO,NO,93.8,96.2,93.1,98.1,25.1,95.3,81.4,78.2,67.9,76.6,87.7,58,NO,NO
11,BUENOS AIRES,BA,BAHIA BLANCA,36,SI,NO,NO,95.4,97.1,96.4,98.5,29.5,96.7,83.8,85.1,61.3,85.9,92.8,69.6,NO,NO
12,BUENOS AIRES,BA,BALCARCE,8,SI,NO,NO,91.6,96.4,90.3,97.9,27.5,95.8,82.2,68.1,65.4,75.9,86.2,57.6,SI,SI
13,BUENOS AIRES,BA,BARADERO,3,SI,SI,NO,89.7,96.1,93.4,97.3,21.4,92.6,68.4,54.1,68.4,76.2,89.2,55,SI,SI
14,BUENOS AIRES,BA,BENITO JUAREZ,5,SI,NO,NO,94.8,97.5,90.2,99.2,22.6,98,65.5,79.7,66.5,74,85.5,56.5,SI,SI
15,BUENOS AIRES,BA,BERAZATEGUI,13,SI,NO,NO,85.8,95,89.8,96.7,23.1,90,77.1,67.4,71.1,86.3,92.7,58.3,NO,SI
